,S7_4,dia5_3,S6_5,M40t45_2,C30_2,SMM_1,S0_3,GM.60_1,MG.120_3,MG.5_3,dia5_2,GM.0.1_3,GM.0.2_3,G135_1,Heat_1,GM.0.2_2,GM.60_1,M40t45_3,T2.0H_1,Mt0_1_dupl01,S2_1,T.3.40H_1,T3.30H_1,GM.60_3,Heat_1,MG.45_2,MG.10_2,G135_3,T0.30H_1,MG.0.2_3,S3_3,T.0.40H_1,MG.10_3,GM.25_2,Mt0_1_dupl02,GM.15_2,GM.45_2,S0_3,MG.10_1,G150_3,S0_2,S0_1,GM.15_2,S4_1,T.2.40H_1,dia0_3,T.4.40H_1,T.2.40H_1,GM.25_1,GM.90_1,T.3.40H_1,T2.0H_1,Mt0_3_dupl02.1,GM.120_3,GM.25_3,MG.10_3,T4.0H_1,GM.15_3,MG.0.1_2,M0t45_3,MG.60_2,T2.0H_1,T1.0H_1,GM.10_3,S6_6,T.2.40H_1,GM.90_2,Cold_2,GM.15_1,T.0.40H_1,T0.0H_1,S0_1,SMM_1,GM.25_3,GM.15_1,M40t45_2,M40t45_2,MG.t5_2,GM.0.2_2,S0_1,MG.t5_2,GM.5_3,GM.0.1_1,T.5.40H_1,GM.60_1,MG.25_2,dia5_3,GM.45_2,Cold_2,GM.60_2,GM.0.1_1,C30_2,S3_2,S2_1,SMM_1,MG.45_3,M40t45_3,T2.0H_1,S0_1,S1_2,T.1.40H_1,MG.60_3,GM.45_3,Cold_1,S1_3,S2_3,M40t45_3,S7_5,Cold_2,GM.90_3,T.3.40H_1,Cold_2,MG.60_2,M40t45_3,S2_1,Mt0_1_dupl02.1,GM.0.1_1,GM.45_1,Heat_3,Mt0_1_dupl02.1,MG.15_2,GM.15_1,MG.45_2,T3.30H_1,G150_2,T0.30H_1,M0t45_3,dia0_3,G150_1,MG.25_3,T2.0H_1,G135_3,BMM_2,T2.30H_1,MG.120_1,S2_2
BSU31410,10.9537,13.1232,10.8088,12.3857,12.9818,13.6489,12.6828,13.9297,13.4304,13.4165,12.9193,13.4965,13.4097,12.8876,13.919,13.9161,13.9297,13.9394,12.4357,13.2676,13.1469,13.8016,12.7916,12.6776,13.919,13.1573,13.6322,10.9443,12.7377,13.8849,10.4099,13.6026,13.0706,13.4492,13.2676,13.2999,12.7724,12.6828,13.9672,13.2996,12.5596,12.7341,13.2999,12.0057,13.6546,13.8902,13.7495,13.6546,14.0146,13.9946,13.8016,12.4357,13.6677,13.4726,12.9322,13.0706,12.6467,13.3595,12.8432,13.7048,13.7224,12.4357,12.6284,12.4842,10.8648,13.6546,13.7251,12.8801,13.482,13.6026,13.3029,12.7341,13.6489,12.9322,13.482,12.3857,12.3857,13.5607,13.9161,12.7341,13.5607,13.6804,13.315,14.0849,13.9297,13.4305,13.1232,12.7724,12.8801,12.9071,13.315,12.9818,12.6061,13.1469,13.6489,14.4646,13.9394,12.4357,12.7341,13.7894,13.6727,13.8317,12.7373,13.5055,14.0481,12.8591,13.9394,10.6711,12.8801,13.3791,13.8016,12.8801,13.7224,13.9394,13.1469,13.2676,13.315,13.9479,13.5718,13.2676,14.3295,13.482,13.1573,12.7916,13.3096,12.7377,13.7048,13.8902,12.9712,13.9475,12.4357,10.9443,13.7321,13.185,13.0608,13.0921
BSU29740,11.8847,13.2114,11.9513,13.1229,12.8053,12.7566,12.4492,13.6008,12.1837,13.1516,12.909,12.9331,12.9573,13.2791,13.6534,13.2446,13.6008,13.4102,11.2001,13.4414,12.0649,12.9937,11.6347,12.634,13.6534,12.3326,13.0755,11.7413,11.8351,13.8537,12.1328,12.6299,12.4734,13.8512,13.4414,13.4496,12.8419,12.4492,13.4806,13.8904,12.6027,12.6449,13.4496,12.7176,12.7262,13.5624,13.0364,12.7262,14.2304,13.5695,12.9937,11.2001,13.8948,13.29,13.2819,12.4734,11.5786,13.3692,12.9375,13.2748,12.9403,11.2001,11.542,12.6893,12.376,12.7262,13.7879,11.8106,13.5071,12.6299,12.5924,12.6449,12.7566,13.2819,13.5071,13.1229,13.1229,13.0316,13.2446,12.6449,13.0316,13.8079,12.5208,13.1785,13.6008,12.6242,13.2114,12.8419,11.8106,12.6812,12.5208,12.8053,12.2435,12.0649,12.7566,13.5852,13.4102,11.2001,12.6449,13.0213,12.5993,13.2027,13.2495,12.4659,13.0393,11.854,13.4102,11.6243,11.8106,13.2579,12.9937,11.8106,12.9403,13.4102,12.0649,13.4414,12.5208,13.7627,12.8325,13.4414,13.7731,13.5071,12.3326,11.6347,13.6925,11.8351,13.2748,13.5624,13.3299,13.2105,11.2001,11.7413,12.9937,12.0487,11.894,12.0151
BSU27890,11.5436,11.9625,11.5619,11.3529,10.1737,13.1731,12.2113,13.3328,12.862,13.1018,12.097,13.5111,13.5355,10.6997,13.461,13.4541,13.3328,11.7289,10.3756,11.2674,13.1622,13.5238,12.6098,12.7658,13.461,11.9943,13.1883,9.1838,10.4717,13.1202,12.3138,13.022,12.6273,13.3683,11.2674,13.305,12.7284,12.2113,13.5358,11.0577,12.2323,11.7548,13.305,13.2056,13.2834,11.4399,13.7912,13.2834,13.8394,12.7205,13.5238,10.3756,11.103,11.4481,13.0588,12.6273,12.5108,13.3152,12.3552,11.6648,13.1843,10.3756,10.6206,12.4668,11.7427,13.2834,12.6401,10.4849,13.3095,13.022,12.8509,11.7548,13.1731,13.0588,13.3095,11.3529,11.3529,13.1788,13.4541,11.7548,13.1788,13.5186,13.0364,13.7647,13.3328,12.3117,11.9625,12.7284,10.4849,12.4822,13.0364,10.1737,13.0571,13.1622,13.1731,13.5442,11.7289,10.3756,11.7548,12.8626,13.1879,13.6277,13.0105,11.0091,12.7565,13.1387,11.7289,11.2252,10.4849,12.5307,13.5238,10.4849,13.1843,11.7289,13.1622,11.2674,13.0364,13.5622,13.0547,11.2674,13.5079,13.3095,11.9943,12.6098,11.1029,10.4717,11.6648,11.4399,10.6478,12.5766,10.3756,9.1838,12.8476,11.1344,12.5821,12.824
BSU40800,9.3635,9.7339,8.3944,8.0193,9.2802,7.9608,7.4755,7.7145,7.9561,8.2258,9.8903,8.1044,7.7367,8.6478,8.8139,8.4124,7.7145,8.4364,8.1464,8.13,8.2572,7.9363,7.9701,7.9177,8.8139,7.4385,7.7615,7.7196,7.7066,8.1753,7.0763,7.377,7.9184,7.9911,8.13,8.0012,7.1425,7.4755,8.0689,8.6456,7.4282,7.0862,8.0012,7.7853,7.7644,8.0331,7.8491,7.7644,7.9792,7.812,7.9363,8.1464,8.2728,8.5894,7.9136,7.9184,7.6672,7.8631,7.2902,8.331,7.8999,8.1464,7.5999,7.243,8.1809,7.7644,8.3511,7.2843,7.7993,7.377,7.4618,7.0862,7.9608,7.9136,7.7993,8.0193,8.0193,7.5193,8.4124,7.0862,7.5193,7.8186,7.6701,8.0579,7.7145,7.6891,9.7339,7.1425,7.2843,7.3823,7.6701,9.2802,7.3754,8.2572,7.9608,8.2542,8.4364,8.1464,7.0862,8.1441,7.7408,7.9605,7.937,7.0956,8.2575,7.5933,8.4364,9.5681,7.2843,8.207,7.9363,7.2843,7.8999,8.4364,8.2572,8.13,7.6701,7.8647,8.8014,8.13,8.5741,7.7993,7.4385,7.9701,8.1031,7.7066,8.331,8.0331,8.4403,8.1255,8.1464,7.7196,8.0596,7.9152,7.621,7.9006
BSU37650,9.4232,11.2586,9.1194,11.0916,10.1303,9.9995,9.0457,10.1946,10.3585,9.8911,11.3478,10.442,10.1863,10.8701,11.7565,10.5264,10.1946,11.7397,8.5946,10.8091,9.4368,9.4291,8.7937,9.1405,11.7565,9.6452,10.1386,9.2349,8.2401,10.2176,9.3658,8.1358,9.5765,10.266,10.8091,10.279,9.7137,9.0457,10.4646,11.2226,8.8046,9.0268,10.279,9.713,9.2322,10.9306,9.2384,9.2322,10.7002,10.013,9.4291,8.5946,11.3473,9.7064,9.7874,9.5765,8.3998,10.1222,9.3665,11.526,10.214,8.5946,7.9735,9.5223,9.1657,9.2322,10.2474,8.9082,10.4512,8.1358,8.497,9.0268,9.9995,9.7874,10.4512,11.0916,11.0916,9.7616,10.5264,9.0268,9.7616,10.4942,10.0244,9.6201,10.1946,9.9603,11.2586,9.7137,8.9082,9.5835,10.0244,10.1303,9.335,9.4368,9.9995,11.0224,11.7397,8.5946,9.0268,10.3095,9.3083,10.4177,9.6188,9.5829,10.2252,9.1464,11.7397,9.5898,8.9082,9.5993,9.4291,8.9082,10.214,11.7397,9.4368,10.8091,10.0244,10.2677,11.3648,10.8091,10.8979,10.4512,9.6452,8.7937,11.2131,8.2401,11.526,10.9306,10.7448,10.6667,8.5946,9.2349,10.1639,8.4316,9.735,9.5577
BSU05370,9.1959,8.1988,8.4698,8.4569,9.1015,8.4649,7.8402,8.441,8.456,8.645,8.4212,8.5929,8.1599,9.0934,9.355,8.8246,8.441,8.7473,8.2309,8.5216,8.5082,8.372,8.1813,8.1991,9.355,8.0046,8.4302,8.0521,7.8775,8.5442,7.6827,8.0195,8.3903,8.3629,8.5216,8.386,7.701,7.8402,8.799,9.1119,7.8988,7.438,8.386,8.3711,8.2465,8.5759,8.3837,8.2465,8.4699,8.6484,8.372,8.2309,8.5623,8.8799,8.2246,8.3903,8.0562,8.306,7.7661,8.7093,8.4143,8.2309,7.7329,7.7098,8.2228,8.2465,8.7413,7.6935,8.4681,8.0195,8.0252,7.438,8.4649,8.2246,8.4681,8.4569,8.4569,8.2422,8.8246,7.438,8.2422,8.3746,8.3176,8.5307,8.441,8.401,8.1988,7.701,7.6935,8.0241,8.3176,9.1015,7.9732,8.5082,8.4649,8.9471,8.7473,8.2309,7.438,9.1015,8.266,8.4408,8.219,7.7327,9.2866,8.0082,8.7473,9.0466,7.6935,8.5656,8.372,7.6935,8.4143,8.7473,8.5082,8.5216,8.3176,8.6368,9.2427,8.5216,9.248,8.4681,8.0046,8.1813,9.316,7.8775,8.7093,8.5759,8.8184,8.8343,8.2309,8.0521,8.478,8.2567,8.1428,8.0469
BSU21780,10.6075,9.8921,11.0951,11.043,11.341,10.7137,12.7954,10.9402,10.6363,10.369,9.6668,10.9829,11.1511,11.8014,12.8815,11.3315,10.9402,10.7123,10.5616,10.188,11.491,11.9247,12.7058,9.8994,12.8815,10.0338,10.711,9.9369,10.3601,10.7996,9.618,12.1423,10.0959,10.8633,10.188,10.2755,10.3237,12.7954,11.0269,10.8788,12.4981,12.9789,10.2755,11.3584,11.2648,10.9644,12.8922,11.2648,11.351,10.6454,11.9247,10.5616,10.3535,10.6271,10.4731,10.0959,12.2615,10.5035,9.8545,10.7696,10.6383,10.5616,10.4793,9.99,11.3952,11.2648,11.0224,14.3742,10.4552,12.1423,11.4576,12.9789,10.7137,10.4731,10.4552,11.043,11.043,10.536,11.3315,12.9789,10.536,11.1258,10.2462,12.8143,10.9402,10.4114,9.8921,10.3237,14.3742,10.1034,10.2462,11.341,11.3292,11.491,10.7137,11.522,10.7123,10.5616,12.9789,11.539,11.5604,10.5736,10.5262,14.6854,11.2177,10.7543,10.7123,10.3726,14.3742,10.8113,11.9247,14.3742,10.6383,10.7123,11.491,10.188,10.2462,11.1119,11.6726,10.188,11.4604,10.4552,10.0338,12.7058,10.804,10.3601,10.7696,10.9644,10.7723,10.9776,10.5616,9.9369,10.4619,11.538,9.9975,10.9083
BSU05700,10.1346,12.7388,10.1823,11.4563,10.5449,11.0847,10.2195,11.4659,11.0061,11.2073,12.8952,11.2787,11.2488,11.1646,12.2703,11.7542,11.4659,12.5618,10.4322,11.9828,10.7571,11.4376,10.5229,10.56,12.2703,10.8178,11.3333,9.5816,11.6068,11.6694,10.5539,11.753,10.8787,11.6974,11.9828,11.4236,10.4646,10.2195,11.7182,11.4611,10.1214,9.7882,11.4236,11.5446,11.0964,12.0518,11.1845,11.0964,11.6371,11.6379,11.4376,10.4322,12.1035,11.0495,10.9826,10.8787,10.6949,11.3909,10.5285,12.3383,11.1975,10.4322,10.7572,10.1975,10.1096,11.0964,11.4487,10.5287,11.3885,11.753,11.2432,9.7882,11.0847,10.9826,11.3885,11.4563,11.4563,11.2436,11.7542,9.7882,11.2436,11.2872,11.0746,11.4451,11.4659,11.0877,12.7388,10.4646,10.5287,10.5536,11.0746,10.5449,11.048,10.7571,11.0847,11.9201,12.5618,10.4322,9.7882,11.0767,11.4524,11.4605,10.7555,11.0783,11.3279,10.2306,12.5618,9.8206,10.5287,11.1425,11.4376,10.5287,11.1975,12.5618,10.7571,11.9828,11.0746,11.6206,11.6103,11.9828,12.3313,11.3885,10.8178,10.5229,11.5769,11.6068,12.3383,12.0518,11.3243,11.5836,10.4322,9.5816,11.0424,11.086,10.4114,10.4569
BSU39430,10.28,10.9954,9.9034,12.1263,10.1683,10.711,10.0053,11.047,10.6355,10.6502,10.9033,10.8685,11.0145,11.1828,11.4542,10.908,11.047,12.0954,10.0454,11.1821,10.5645,10.6382,10.1534,10.3074,11.4542,10.3447,10.9108,9.4715,10.6931,11.1375,9.8588,10.2925,10.3988,10.8947,11.1821,10.7142,10.2299,10.0053,11.3739,11.8623,9.8573,10.1091,10.7142,11.1009,10.4664,11.4065,10.5934,10.4664,11.3259,11.0709,10.6382,10.0454,11.8812,10.5868,10.5561,10.3988,10.2779,10.6531,10.3989,11.7816,10.8808,10.0454,10.4398,9.9262,10.0252,10.4664,11.1733,9.5525,10.8142,10.2925,10.6446,10.1091,10.711,10.5561,10.8142,12.1263,12.1263,10.8455,10.908,10.1091,10.8455,10.9357,10.7475,10.8576,11.047,10.5956,10.9954,10.2299,9.5525,10.3745,10.7475,10.1683,11.0318,10.5645,10.711,11.5083,12.0954,10.0454,10.1091,11.0971,10.3111,11.0377,10.5678,10.2287,11.2292,10.5748,12.0954,9.9566,9.5525,10.4461,10.6382,9.5525,10.8808,12.0954,10.5645,11.1821,10.7475,11.1658,10.7626,11.1821,11.2437,10.8142,10.3447,10.1534,11.0153,10.6931,11.7816,11.4065,11.415,10.9163,10.0454,9.4715,10.8018,10.6447,10.4896,10.5814
BSU02970,13.6141,14.7088,13.6764,11.4344,11.1001,12.0736,10.1005,12.3738,11.7275,11.6136,14.6053,12.3855,12.3732,10.0369,13.8029,12.0499,12.3738,11.4549,10.7062,11.4361,12.0687,12.5248,11.8942,11.7019,13.8029,11.4574,11.8157,9.1107,10.6431,11.9303,12.7417,12.0775,11.5492,11.8772,11.4361,12.2326,11.6407,10.1005,12.0686,10.168,9.7905,9.4734,12.2326,13.1715,12.4668,11.6607,12.6345,12.4668,12.1965,12.2605,12.5248,10.7062,11.1215,11.6714,11.9849,11.5492,12.0611,12.5072,11.2204,11.3694,11.7733,10.7062,10.0883,11.5866,13.9739,12.4668,12.2466,10.2581,12.3017,12.0775,12.0534,9.4734,12.0736,11.9849,12.3017,11.4344,11.4344,11.6574,12.0499,9.4734,11.6574,12.7672,12.2952,12.5085,12.3738,11.8571,14.7088,11.6407,10.2581,11.6028,12.2952,11.1001,12.2593,12.0687,12.0736,12.1787,11.4549,10.7062,9.4734,12.1637,12.2133,11.8036,12.3402,10.7714,12.2857,11.8921,11.4549,13.3279,10.2581,11.1297,12.5248,10.2581,11.7733,11.4549,12.0687,11.4361,12.2952,12.7318,13.1101,11.4361,12.0358,12.3017,11.4574,11.8942,10.7173,10.6431,11.3694,11.6607,10.0678,11.841,10.7062,9.1107,11.1117,11.6163,12.0589,11.5655
