"S0_1"	"S1_1"	"S2_1"	"S3_1"	"S4_1"	"S5_1"	"S0_2"	"S1_2"	"S2_2"	"S3_2"	"S4_2"	"S5_2"	"S0_3"	"S1_3"	"S2_3"	"S3_3"	"S4_3"	"S5_3"	"S6_4"	"S7_4"	"S6_5"	"S7_5"	"S6_6"	"G135_1"	"G150_1"	"G150_2"	"G135_3"	"G150_3"	"C30_1"	"C30_2"	"T.5.40H_1"	"T.4.40H_1"	"T.3.40H_1"	"T.2.40H_1"	"T.1.40H_1"	"T.1.10H_1"	"T.0.40H_1"	"T0.0H_1"	"T0.30H_1"	"T1.0H_1"	"T1.30H_1"	"T2.0H_1"	"T2.30H_1"	"T3.0H_1"	"T3.30H_1"	"T4.0H_1"	"BMM_1"	"Heat_1"	"Cold_1"	"BMM_2"	"Heat_2"	"Cold_2"	"BMM_3"	"Heat_3"	"Cold_3"	"SMM_1"	"SMM_2"	"SMM_3"	"Mt0_1_dupl01"	"Mt0_1_dupl02"	"M0t45_1"	"Mt0_2_dupl01"	"Mt0_2_dupl02"	"M0t45_2"	"Mt0_3_dupl01"	"Mt0_3_dupl02"	"M0t45_3"	"M40t45_1"	"M40t45_2"	"M40t45_3"	"dia0_1"	"dia5_1"	"dia0_2"	"dia5_2"	"dia0_3"	"dia5_3"	"GM.0.2_1"	"GM.0.1_1"	"GM.5_1"	"GM.15_1"	"GM.25_1"	"GM.45_1"	"GM.60_1"	"GM.90_1"	"GM.120_1"	"GM.0.2_2"	"GM.0.1_2"	"GM.5_2"	"GM.10_2"	"GM.15_2"	"GM.25_2"	"GM.45_2"	"GM.60_2"	"GM.90_2"	"GM.0.2_3"	"GM.0.1_3"	"GM.5_3"	"GM.10_3"	"GM.15_3"	"GM.25_3"	"GM.45_3"	"GM.60_3"	"GM.90_3"	"GM.120_3"	"MG.0.1_1"	"MG.5_1"	"MG.10_1"	"MG.15_1"	"MG.25_1"	"MG.45_1"	"MG.120_1"	"MG.0.1_2"	"MG.0.2_2"	"MG.t5_2"	"MG.10_2"	"MG.15_2"	"MG.25_2"	"MG.45_2"	"MG.60_2"	"MG.90_2"	"MG.0.1_3"	"MG.0.2_3"	"MG.5_3"	"MG.10_3"	"MG.15_3"	"MG.25_3"	"MG.45_3"	"MG.60_3"	"MG.90_3"	"MG.120_3"
"BSU00370"	15.3887	15.1474	13.1919	13.4288	12.5007	12.1891	15.2006	15.027	12.946	12.5803	12.1909	12.1659	15.5759	15.0494	12.7281	11.0554	12.1338	12.5163	10.6674	11.2589	11.1864	10.9622	11.3483	13.9581	13.1339	13.5196	13.0644	13.2444	13.4002	13.4975	14.1329	13.9183	13.0688	12.378	12.227	12.4483	12.3541	12.0179	12.6472	10.9624	11.3133	11.1531	11.8858	10.9634	10.73	10.1372	13.2917	13.5008	13.1843	13.3409	13.2665	12.7009	13.9374	13.2949	12.7131	13.3333	13.2599	13.3772	14.432	14.432	12.9323	12.3179	12.3179	13.8176	14.4578	14.4578	13.2336	12.3246	13.8916	13.1009	14.1067	15.325	14.05	15.0455	13.8149	14.6494	13.953	14.1334	13.9939	14.3063	14.4241	14.3547	13.9884	13.5823	11.4963	14.3169	14.3792	14.3858	14.3971	14.5363	14.5298	13.0044	12.7208	12.5036	13.9885	14.2331	14.2505	13.3182	14.2886	13.8362	13.2286	12.8806	12.6183	12.2157	14.3259	14.4848	14.2908	13.8502	14.5154	14.6548	11.7472	13.6853	14.2665	14.2948	14.4516	14.6505	14.3301	13.8516	14.0062	13.0302	15.3251	14.9967	14.7544	13.6141	14.9151	15.0933	14.901	13.901	13.8473	12.866
"BSU08100"	10.1872	11.7948	10.8903	10.9375	12.0351	12.3	10.3466	11.9941	11.0697	11.1323	12.1678	12.997	10.657	12.1694	10.6316	11.4999	11.3942	12.5055	11.382	12.1262	12.1651	11.9436	12.1441	8.755	10.7367	9.5529	7.8211	11.3143	8.6686	9.1321	9.0804	8.8926	8.995	8.9553	9.1006	9.2602	8.9627	10.9335	12.1857	12.0909	12.1951	12.1275	12.7861	12.263	12.5399	12.2912	8.0109	9.9074	7.6307	7.8007	9.7172	7.4478	8.0379	9.608	7.3916	8.5301	8.5395	8.4973	9.9058	9.9058	9.1705	12.1442	12.1442	8.6382	11.9325	11.9325	9.7278	9.7915	13.1894	9.9486	10.5328	11.1489	10.5886	11.8431	9.7125	11.9165	8.9539	8.6552	8.2969	8.2827	8.2481	8.1885	7.8621	8.1343	8.5606	9.0993	9.0272	8.7724	8.1372	8.056	7.9924	7.268	7.6979	8.4225	8.7249	8.8651	8.9371	7.8688	8.0954	7.9752	8.3201	7.9622	8.1256	8.5899	9.759	8.271	8.2071	7.6354	7.8171	7.8931	8.8234	9.0723	9.5327	7.9592	7.8388	8.5402	7.6648	7.8021	8.1281	7.7456	10.3849	9.9066	8.2192	8.0854	8.0654	8.0998	8.4417	8.2665	8.3642	8.5366
"BSU01810"	7.7582	8.7416	8.6554	9.9802	10.667	10.2734	7.8621	8.5261	8.4782	10.0531	10.2114	10.8392	7.8442	8.6078	8.2601	10.3841	10.0089	10.6882	9.5367	10.2319	9.7912	10.2286	9.9743	8.4806	8.3828	8.8471	7.8955	8.7198	9.1631	8.9797	7.931	7.7301	7.6958	7.7289	7.6483	7.7045	7.5218	7.5067	8.5744	8.0464	8.4071	8.3759	8.4342	8.2357	8.4766	8.6	7.855	8.9425	7.7278	7.8661	8.5809	7.7171	7.9374	8.8425	7.6983	7.8294	7.6737	7.68	8.1768	8.1768	8.2195	8.6861	8.6861	8.1221	8.3317	8.3317	8.5434	8.2619	9.3811	8.6379	8.0453	8.7193	8.2693	8.5341	8.025	8.1951	7.9654	7.6734	7.5102	7.693	7.9205	7.7805	7.6871	7.7503	7.8642	8.4529	7.9802	7.4579	7.6013	7.9577	8.0124	7.1416	7.4827	8.2785	7.8924	8.1749	7.7742	7.3677	7.8016	7.9571	8.0992	7.8758	8.1926	8.5804	7.83	8.012	8.0285	7.7335	7.8226	7.8812	7.7214	7.2352	7.5413	7.4989	7.6355	8.6178	7.5526	7.3013	7.7697	7.1968	8.2059	8.2764	8.2472	7.9049	8.1176	8.0362	8.0816	7.9637	7.9188	7.8482
"BSU24250"	11.0569	11.082	10.7409	11.136	11.4502	10.9955	11.2647	10.9183	10.6686	11.3374	10.9111	11.2159	11.0246	11.3857	10.4692	10.852	10.796	11.4169	9.9225	10.4378	10.4948	10.2391	10.5444	12.6802	11.9272	12.6917	10.692	12.5275	11.1443	11.3361	12.0816	11.7956	11.6258	11.4187	11.2895	11.5519	11.3183	11.1014	10.2674	10.1937	10.2309	10.2433	11.035	10.6909	11.1008	11.071	11.8768	12.8625	12.3287	11.6635	12.4	11.2922	12.0816	11.8771	10.7201	11.5326	11.4175	11.4831	11.6866	11.6866	10.8441	10.1436	10.1436	11.745	12.1911	12.1911	11.4314	10.8034	11.0314	11.5995	11.5319	10.9068	11.8184	11.2226	12.1953	11.2344	11.318	11.4268	11.0786	11.7409	11.9682	11.914	11.642	11.9161	10.7933	11.8958	11.7311	11.5792	11.4715	11.3956	11.4943	10.9341	10.785	11.6057	11.4737	11.532	11.6063	10.4911	11.2884	10.9492	11.0439	10.7189	11.5193	11.1254	11.7042	11.6221	11.9532	11.1494	11.6322	11.5005	10.6975	10.7765	11.2866	11.213	11.5194	12.3136	11.5703	10.9588	11.2736	11.0912	12.1124	11.3558	11.0221	11.0373	11.8129	11.8166	12.1524	11.3793	11.6805	11.1315
"BSU36020"	9.7198	9.8195	10.1027	9.8789	9.5048	9.169	9.5583	9.8887	10.1614	9.8242	9.5444	9.1537	9.8092	9.8982	10.5487	9.3686	9.2928	9.4235	8.7432	9.2262	9.0626	9.2546	9.066	9.7848	9.2579	10.0226	8.5254	9.2408	9.166	9.4366	10.5551	10.5513	10.5514	10.3093	10.3041	10.5118	10.4238	10.0592	9.7441	9.4011	9.3515	9.1335	9.6474	9.3154	9.6132	9.5891	10.2104	12.0168	9.6516	10.0837	11.7322	9.1919	10.8225	11.5725	9.1601	10.3056	10.199	10.3311	10.3881	10.3881	11.3236	9.5816	9.5816	10.7977	9.8827	9.8827	11.6823	10.7163	10.2106	11.9068	10.0377	11.7313	10.174	11.5184	10.2849	11.3688	9.8922	9.9856	9.9518	10.2912	10.6979	10.575	10.4059	10.3047	9.4739	10.1638	10.5902	10.3962	10.2832	10.2192	10.3929	9.8563	9.614	10.5983	10.3803	10.5234	10.4948	9.5363	10.2645	10.1254	10.1723	9.8979	9.8433	10.1098	10.0386	10.1306	10.6862	9.9942	10.2778	9.7693	9.7803	9.4233	9.8345	9.9216	10.1388	10.5579	9.8139	9.5402	9.9261	9.6347	10.33	9.8881	10.0732	9.9193	10.4451	10.1637	10.645	10.4097	10.177	9.9486
"BSU23590"	12	9.2313	9.1932	9.2286	9.3866	9.2998	11.2955	9.3966	8.6997	9.1255	8.7071	9.2299	11.2566	9.0529	8.3195	7.8106	8.3531	9.3164	9.1536	10.0815	9.6901	9.9356	9.7435	10.5138	10.7567	11.4332	9.1568	10.9092	11.8544	11.8066	10.4323	10.3088	10.1554	9.8544	10.0403	9.9718	10.3218	10.0098	9.3662	9.0274	9.2166	9.2183	9.8206	9.3047	9.8324	9.5217	9.45	9.7072	12.5214	9.3653	9.4018	12.1012	9.477	9.1752	11.6286	9.3879	9.6417	9.3201	11.7409	11.7409	8.6951	8.287	8.287	10.4878	11.8654	11.8654	9.0603	8.3442	9.0881	9.292	11.4745	11.0761	11.6188	11.2846	11.774	11.3594	9.6472	9.7366	9.3867	9.9024	10.2088	10.0349	9.8703	9.9598	9.2233	10.0888	10.0343	9.7991	9.8091	9.821	9.813	8.9986	8.8398	10.1464	9.8704	9.9858	10.2238	8.9737	9.809	9.3121	9.4618	8.8911	9.1704	9.7398	9.7092	9.8185	10.1014	9.3004	9.6885	9.6612	9.4442	8.8699	9.3906	9.4744	9.756	10.1161	9.3795	9.2089	9.4084	9.2665	9.9636	9.6619	9.6374	8.9286	9.9679	9.7099	9.9262	9.7665	9.6332	9.0894
"BSU33970"	10.3534	11.035	10.0857	11.1465	11.2576	10.7538	10.3624	11.1004	9.6914	10.9746	10.8839	10.9778	10.5107	11.0461	9.7308	10.4033	10.3773	10.9488	9.9263	10.0311	10.2918	9.8134	10.4237	11.0107	10.9017	11.2941	9.5288	11.0968	9.8237	10.0467	10.9837	10.8834	10.6901	10.507	10.349	10.4092	10.3865	10.3853	9.4909	9.5684	9.1925	9.3373	9.8694	9.4966	9.7898	9.7464	10.6834	11.4581	12.7016	10.3988	11.2262	12.0126	10.5262	10.9985	11.7187	10.4375	10.4066	10.5133	11.0794	11.0794	10.657	9.9664	9.9664	11.0191	11.6689	11.6689	11.0081	10.3445	10.7465	10.9692	11.0543	10.3125	11.1012	10.8131	11.2574	10.7759	10.5042	10.3794	10.2618	10.5044	10.7632	10.8284	10.6964	10.8955	10.1619	10.5114	10.78	10.5863	10.4748	10.2372	10.272	10.0183	10.0369	10.6945	10.4631	10.5213	10.6813	9.5533	10.1881	10.046	10.3952	10.0216	10.0416	10.3465	10.7081	10.4407	10.7232	9.9808	10.5434	10.4686	10.0305	10.0929	10.5005	10.3353	10.5599	10.9429	10.5708	10.1508	10.6252	10.1403	11.1908	10.6716	10.2497	10.4345	10.8699	10.7858	11.2151	10.7499	10.7095	10.2833
"BSU25810"	9.811	10.7585	9.7174	10.6931	10.8469	10.8927	9.7755	10.3826	9.5547	10.1949	10.3754	11.3499	9.4866	10.6154	9.5299	10.1093	10.4498	11.087	9.895	10.8323	10.4205	10.8861	10.4057	9.7186	9.6918	9.8979	8.3208	10.0512	9.1509	8.9977	10.4017	9.7391	10.0106	9.7748	9.6462	9.6866	9.8154	9.6729	10.7472	9.4091	9.4597	9.6056	10.1942	10.2808	10.5394	10.9281	10.1539	10.9363	9.8066	9.9783	10.6428	9.8137	10.1217	10.7978	9.4365	10.2136	9.9652	10.0903	9.9846	9.9846	10.1072	9.8244	9.8244	9.9741	10.0058	10.0058	10.1128	9.6457	10.7267	10.366	9.9286	16.4485	10.4768	16.4215	10.5365	16.4567	9.7862	10.0799	10.0351	9.7343	10.1207	10.3202	10.1353	10.3368	9.388	10.8183	10.2583	9.8583	9.4376	9.5532	9.9817	8.9591	9.5668	10.4269	10.1524	10.4046	10.1536	8.5674	9.7697	9.6228	9.3173	9.6879	10.3068	10.4802	10.1865	10.3813	10.5197	10.0204	10.6499	10.6071	9.5605	9.3111	9.7186	9.8661	10.3008	11.1076	10.1892	9.3398	10.1131	9.5793	10.6455	10.6907	10.445	9.7715	10.7568	10.7703	10.5068	10.0146	10.521	10.435
"BSU05330"	9.34	9.1807	8.4098	8.6357	8.8989	8.1329	9.9835	8.8102	8.1702	8.8367	8.2742	8.1992	9.5407	9.5104	7.9818	7.9377	8.2591	8.3549	7.8506	8.6155	8.2354	8.684	8.0321	10.5419	10.1162	10.7953	9.0835	10.6153	9.6019	9.628	9.4446	9.1058	9.2571	8.8215	9.1522	9.4032	9.2444	8.7896	9.6631	8.9198	8.8327	8.7042	8.7829	8.406	8.6352	8.5045	9.5444	10.4478	9.8328	9.4152	10.0033	8.9695	9.3119	9.9743	8.5123	9.499	9.3303	9.5356	10.1307	10.1307	8.3149	7.8766	7.8766	10.2939	10.4076	10.4076	8.6202	8.3016	7.9154	8.9119	9.926	8.6901	10.2135	8.9602	10.4673	8.9174	9.3668	9.3227	9.0049	9.4952	9.6516	9.6507	9.5524	9.7278	9.0098	9.7694	9.3148	9.2158	9.1709	9.291	9.462	8.5671	8.8617	9.5697	9.2977	9.6199	9.3298	8.3865	9.252	9.0032	8.9382	8.9114	9.4946	9.5045	9.3885	9.0345	9.7055	9.0868	9.44	9.4141	8.4182	8.5165	9.0817	8.9668	9.2728	10.2113	9.2411	8.9029	9.2274	8.7167	9.9419	9.3445	9.0855	8.8161	9.7264	9.7338	10.0243	9.371	9.6171	8.9937
"BSU26720"	8.7525	10.5832	9.8038	10.7336	10.5583	9.5259	9.216	10.2898	9.7715	10.8708	9.8993	9.7594	9.0461	10.5203	9.4525	9.4643	9.8584	9.9257	8.6845	9.3605	9.0309	9.2127	9.0502	9.8347	9.9003	9.8691	8.5392	10.1722	9.693	9.6768	10.5028	10.124	10.353	10.1344	9.9103	10.0636	9.8544	9.8085	9.7311	9.4191	9.1366	8.966	9.492	9.0061	9.1885	9.0953	10.3777	11.116	10.1393	10.2059	10.6975	9.5322	10.315	10.8563	9.2536	10.3187	10.3894	10.3357	10.4549	10.4549	9.454	8.957	8.957	10.4847	10.4539	10.4539	9.7741	9.227	9.441	9.7106	10.1093	9.5464	10.5477	9.6071	10.2326	9.2836	9.8623	10.0617	10.017	10.2702	10.6144	10.5057	10.5304	10.4244	9.3986	10.8325	10.5203	10.2447	10.1351	10.2572	10.313	9.2666	9.6318	10.4998	10.3313	10.3895	10.2568	9.1983	10.0074	9.8895	9.4986	9.7073	10.4822	10.4484	10.277	10.1415	10.7734	10.1804	10.3888	10.3882	9.4995	9.5067	10.0174	10.0173	10.3397	11.2158	10.158	9.4735	10.2103	9.631	10.8204	10.5298	10.2941	9.5723	10.6242	10.7732	10.9235	10.0302	10.566	10.3167
