,isTs,is1stLast,prevCol,del.t,condName
0,True,f,,,S0_1
1,True,m,S0_1,60.0,S1_1
2,True,m,S1_1,60.0,S2_1
3,True,m,S2_1,60.0,S3_1
4,True,m,S3_1,60.0,S4_1
5,True,m,S4_1,60.0,S5_1
6,True,l,S5_1,60.0,S6_1
7,True,f,,,S0_2
8,True,m,S0_2,60.0,S1_2
9,True,m,S1_2,60.0,S2_2
10,True,m,S2_2,60.0,S3_2
11,True,m,S3_2,60.0,S4_2
12,True,m,S4_2,60.0,S5_2
13,True,l,S5_2,60.0,S6_2
14,True,f,,,S0_3
15,True,m,S0_3,60.0,S1_3
16,True,m,S1_3,60.0,S2_3
17,True,m,S2_3,60.0,S3_3
18,True,m,S3_3,60.0,S4_3
19,True,m,S4_3,60.0,S5_3
20,True,l,S5_3,60.0,S6_3
21,True,f,,,S6_4
22,True,m,S6_4,60.0,S7_4
23,True,l,S7_4,60.0,S8_4
24,True,f,,,S6_5
25,True,m,S6_5,60.0,S7_5
26,True,l,S7_5,60.0,S8_5
27,True,f,,,S6_6
28,True,l,S6_6,60.0,S7_6
29,True,f,,,G135_1
30,True,m,G135_1,15.0,G150_1
31,True,l,G150_1,30.0,G180_1
32,True,f,,,G150_2
33,True,l,G150_2,30.0,G180_2
34,True,f,,,G135_3
35,True,m,G135_3,15.0,G150_3
36,True,l,G150_3,30.0,G180_3
37,True,f,,,C30_1
38,True,l,C30_1,30.0,C90_1
39,True,f,,,C30_2
40,True,l,C30_2,30.0,C90_2
41,True,f,,,T-5.40H_1
42,True,m,T-5.40H_1,60.0,T-4.40H_1
43,True,m,T-4.40H_1,60.0,T-3.40H_1
44,True,m,T-3.40H_1,60.0,T-2.40H_1
45,True,m,T-2.40H_1,60.0,T-1.40H_1
46,True,m,T-1.40H_1,30.0,T-1.10H_1
47,True,m,T-1.10H_1,30.0,T-0.40H_1
48,True,m,T-0.40H_1,40.0,T0.0H_1
49,True,m,T0.0H_1,30.0,T0.30H_1
50,True,m,T0.30H_1,30.0,T1.0H_1
51,True,m,T1.0H_1,30.0,T1.30H_1
52,True,m,T1.30H_1,30.0,T2.0H_1
53,True,m,T2.0H_1,30.0,T2.30H_1
54,True,m,T2.30H_1,30.0,T3.0H_1
55,True,m,T3.0H_1,30.0,T3.30H_1
56,True,m,T3.30H_1,30.0,T4.0H_1
57,True,l,T4.0H_1,60.0,T5.0H_1
58,True,f,,,BMM_1
59,True,m,BMM_1,10.0,Heat_1
60,True,m,Heat_1,60.0,Cold_1
61,True,l,Cold_1,10.0,Etha_1
62,True,f,,,BMM_2
63,True,m,BMM_2,10.0,Heat_2
64,True,m,Heat_2,60.0,Cold_2
65,True,l,Cold_2,10.0,Etha_2
66,True,f,,,BMM_3
67,True,m,BMM_3,10.0,Heat_3
68,True,m,Heat_3,60.0,Cold_3
69,True,l,Cold_3,10.0,Etha_3
70,True,f,,,SMM_1
71,True,l,SMM_1,10.0,Salt_1
72,True,f,,,SMM_2
73,True,l,SMM_2,10.0,Salt_2
74,True,f,,,SMM_3
75,True,l,SMM_3,10.0,Salt_3
76,True,f,,,Mt0_1
77,True,m,Mt0_1,45.0,M0t45_1
78,True,l,M0t45_1,45.0,M0t90_1
79,True,f,,,Mt0_2
80,True,m,Mt0_2,45.0,M0t45_2
81,True,l,M0t45_2,45.0,M0t90_2
82,True,f,,,Mt0_3
83,True,m,Mt0_3,45.0,M0t45_3
84,True,l,M0t45_3,45.0,M0t90_3
85,True,f,,,Mt0_1.1
86,True,m,Mt0_1,45.0,M40t45_1
87,True,l,M40t45_1,45.0,M40t90_1
88,True,f,,,Mt0_2.1
89,True,m,Mt0_2,45.0,M40t45_2
90,True,l,M40t45_2,45.0,M40t90_2
91,True,f,,,Mt0_3.1
92,True,m,Mt0_3,45.0,M40t45_3
93,True,l,M40t45_3,45.0,M40t90_3
94,True,f,,,dia0_1
95,True,m,dia0_1,5.0,dia5_1
96,True,l,dia5_1,10.0,dia15_1
97,True,f,,,dia0_2
98,True,m,dia0_2,5.0,dia5_2
99,True,l,dia5_2,10.0,dia15_2
100,True,f,,,dia0_3
101,True,m,dia0_3,5.0,dia5_3
102,True,l,dia5_3,10.0,dia15_3
103,True,f,,,GM-0.2_1
104,True,m,GM-0.2_1,5.0,GM-0.1_1
105,True,m,GM-0.1_1,5.0,GM+5_1
106,True,m,GM+5_1,10.0,GM+15_1
107,True,m,GM+15_1,10.0,GM+25_1
108,True,m,GM+25_1,20.0,GM+45_1
109,True,m,GM+45_1,15.0,GM+60_1
110,True,m,GM+60_1,30.0,GM+90_1
111,True,m,GM+90_1,30.0,GM+120_1
112,True,l,GM+120_1,30.0,GM+150_1
113,True,f,,,GM-0.2_2
114,True,m,GM-0.2_2,5.0,GM-0.1_2
115,True,m,GM-0.1_2,5.0,GM+5_2
116,True,m,GM+5_2,5.0,GM+10_2
117,True,m,GM+10_2,5.0,GM+15_2
118,True,m,GM+15_2,10.0,GM+25_2
119,True,m,GM+25_2,20.0,GM+45_2
120,True,m,GM+45_2,15.0,GM+60_2
